Environmental profile Nokia 5.1,Environmental profile Nokia 3.1,Environmental profile Nokia 2.1,Environmental profile Nokia 1 Plus,Environmental profile Nokia 1,Environmental profile Nokia 8110 4G,Environmental profile Nokia 3310 3G,Environmental profile Nokia 216 / Nokia 216 Dual SIM,Environmental profile Nokia 210 Dual SIM,Environmental profile Nokia 106,Environmental profile Nokia 130 / Nokia 130 Dual SIM,Environmental profile Nokia 105 / Nokia 105 Dual SIM
,,,,,,,,,,,
Mobile device,Mobile device,Mobile device,Mobile device,Mobile device,Mobile device,Mobile device,Mobile device,Mobile device,Mobile device,Mobile device,Mobile device
,,,,,,,,,,,
Weight1: 150 grams (including battery),Weight1: 138.3 grams (including battery),Weight: 174 grams (including battery),Weight: 139.98 grams (including battery),Weight: 135 grams (including battery),Weight: 117 grams (including battery),Weight1: 88.2 grams (including battery),Weight1: 82.8 grams (including battery),Weight: 83.6 grams (including battery),Weight: 70.2 grams (including battery),Weight: 74.2 grams (including battery) ,Weight: 73.0 grams (including battery)
,,,,,Weight (DS): 118 grams (including battery),,,,,Weight (DS): 75.7 grams (including battery),Weight (DS): 73.5grams (including battery)
,,,,,,,,,,,
Dimensions: Height 151.11mm x Width 70.73 mm x Thickness 8.27 mm,Dimensions: Height 146.25mm x Width 68.65 mm x Thickness 8.7 mm,Dimensions: Height 153.6mm x Width 77.6 mm x Thickness 9.67 mm,Dimensions: Height 146.49mm x Width 70.4 mm x Thickness 8.58 mm,Dimensions: Height 135.5mm x Width 72.9 mm x Thickness 9.5 mm,Dimensions: Height 133.45 mm x Width 49.3 mm x Thickness 14.8 mm,Dimensions: Height 117 mm x Width 52.4 mm x Thickness 13.35 mm,Dimensions: Height 118 mm x Width 50.2 mm x Thickness 13.5 mm,Dimensions: Height 120.80mm x Width 53.49 mm x Thickness 13.81 mm,Dimensions: Height 111.15mm x Width 49.45 mm x Thickness 14.4 mm,Dimensions: Height 111.5 mm x Width 48.4 mm x Thickness 14.2 mm,Dimensions: Height 111.95mm x Width 49.45 mm x Thickness 14.4 mm
,,,,,,,,,,,
Volume: 83.85cc (cm3),Volume: 81.4cc (cm3),Volume: 104.1 cc (cm3),Volume: 88.5 cc (cm3),Volume: 78.85 cc (cm3),Volume: 87.86cc (cm3),Volume: 89.9cc (cm3),Volume: 80cc (cm3),Volume: 75.27cc (cm3),Volume: 67.8cc (cm3),Volume: 66.70cc (cm3),Volume: 68.18cc (cm3)
,,,,,,,,,,,
Package,Package,Package,Package,Package,Package,Package,Package,Package,Package,Package,Package
,,,,,,,,,,,
Weight: 84.89 grams,Weight: 86.03 grams,Weight: 85.6 grams,Weight1: 74.7 grams,Weight1: 60.1 grams,Weight1: 54.3 grams,Weight1: 61.63 grams,Weight1: 50.5 grams,Weight1: 39.6 grams,Weight1: 37.7grams,Weight1: 40.8 grams,Weight1: 40.8grams
,,,,,,,,,,,
Dimensions: Length: 164.6mm x Width: 140.2mm x Height: 32.6 mm,Dimensions: Length: 164.6mm x Width: 140.2mm x Height: 32.6 mm,Dimensions: Length 164.6mm x Width 140.2mm x Height 32.6 mm,Dimensions: Length: 166mm x Width: 141 mm x Height: 33.5 mm,Dimensions: Length 140.9mm x Width 72.9mm x Height 55.8 mm,Dimensions: Length: 149mm x Width: 66.5mm x Height: 58 mm,Dimensions: Length: 134mm x Width: 75mm x Height: 54 mm,Dimensions: Length: 135mm x Width: 130mm x Height: 34 mm,Dimensions: Length: 125mm x Width: 128mm x Height: 33 mm,Dimensions: Length: 125mm x Width: 119mm x Height: 33 mm,Dimensions: Length: 136mm x Width: 119mm x Height: 33 mm,Dimensions: Length: 136mm x Width: 119mm x Height: 33 mm
,,,,,,,,,,,
