Name,Number,Code TLA,Codename,Pre-release codename,Manufacturer,FCC,TENAA,Canada,EEC,Bluetooth,Wifi
Nokia 1 (Dual SIM),TA-1047,FRT,Frontier,,,,,,,,
Nokia 1 (Dual SIM),TA-1056,FRT,Frontier,,,,,,,,
Nokia 1 (Dual SIM),TA-1066,FRT,Frontier,,,,,,,,
Nokia 1 (Single SIM),TA-1060,FRT,Frontier,,,,,,,,
Nokia 1 (Single SIM),TA-1079,FRT,Frontier,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=7&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 1 plus (EU - Dual SIM - 8GB),TA-1130,ANT,Antman / Trochilus,,,https://fccid.io/2AJOTTA-1123,,,NPU,,
Nokia 1 plus (LTA - Dual SIM - 16GB),TA-1123,ANT,Antman / Trochilus,,,https://fccid.io/2AJOTTA-1123,,,,,
Nokia 1 plus (LTA - Single SIM - 16GB),TA-1127,ANT,Antman / Trochilus,,,https://fccid.io/2AJOTTA-1127,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=12&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 1 plus EU - Single SIM - 8GB),TA-1111,ANT,Antman / Trochilus,,,https://fccid.io/2AJOTTA-1111,,,,,
Nokia 1.3 EEC? Dual-SIM,TA-1205,DRX,,,,https://fccid.io/2AJOTTA-1205,,,https://fccid.io/EEC/RU0000045270,https://launchstudio.bluetooth.com/ListingDetails/101622,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA94384
Nokia 1.3 Single-SIM,TA-1216,DRX,,,,https://fccid.io/2AJOTTA-1216,,,,https://launchstudio.bluetooth.com/ListingDetails/101622,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA94662
Nokia 1.3,TA-1207,DRX,,,,https://fccid.io/2AJOTTA-1207,,,,https://launchstudio.bluetooth.com/ListingDetails/101622,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA94663
Nokia 105 (Dual SIM),TA-1034,,,,,,,,,,
Nokia 105 2019,TA-1174,,,,,,,,https://fccid.io/EEC/RU0000042813,,
Nokia 105,TA-1010,,,,,,,,,,
Nokia 105,TA-1037,,,,,,,,,,
Nokia 106,TA-1114,,,,,,,,,,
Nokia 110 EEC,TA-1192,NKL,,,,,http://www.tenaa.com.cn/WSFW/LicenceShow.aspx?code=zE1dXVAIaKbqW8Dm8yGNhAwO2jLMCGvj%2fDfTiUP2Ca%2bkatLHuevQ9thiNFG9zrfI,,,,
Nokia 130 (Dual SIM),TA-1017,,,,,,,,,,
Nokia 130,TA-1019,,,,,,,,,,
Nokia 130,TA-1035,,,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=4&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 150 2019? (China),TA-1242,,,,,,http://shouji.tenaa.com.cn/mobile/MobileDetail.aspx?code=g61T3CysTlSvI%2bQgKH174UOKZ1jaN6%2f3,,,,
Nokia 2 (Dual SIM),TA-1011,E1M,Dynamo,,,,,,,,
Nokia 2 (Dual SIM),TA-1029,E1M,Dynamo,,,,,,,,
Nokia 2,TA-1007,E1M,Dynamo,,,,,,,,
Nokia 2,TA-1023,E1M,Dynamo,,,,,,,,
Nokia 2.1 (Dual SIM),TA-1080,E2M,Dynamo2,,,,,,,,
Nokia 2.1 (Dual SIM),TA-1084,E2M,Dynamo2,,,,,,,,
Nokia 2.1 (Dual SIM),TA-1092,E2M,Dynamo2,,,,,,,,
Nokia 2.1,TA-1086,E2M,Dynamo2,,,,,,,,
Nokia 2.1,TA-1093,E2M,Dynamo2,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=9&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 2.2 (EEC?),TA-1188,WAS / WSP,Wasp,,Huaqin,https://fccid.io/2AJOTTA-1188,,,https://fccid.io/EEC/RU0000041828,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA83806
Nokia 2.2 India,TA-1183,WAS / WSP,Wasp,,Huaqin / Rising Stars (Foxconn),https://fccid.io/2AJOTTA-1184,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA89693
Nokia 2.2 single-SIM,TA-1179 ,WAS / WSP,Wasp,,Huaqin,https://fccid.io/2AJOTTA-1179,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?execution=e1s3&index=17,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA89691
Nokia 2.2 single-SIM,TA-1191,WAS / WSP,Wasp,,Huaqin,https://fccid.io/2AJOTTA-1191,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA89689
Nokia 2.2,TA-1184,WAS / WSP,Wasp,,Huaqin,https://fccid.io/2AJOTTA-1184,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=18&execution=e1s2&_eventId=showEquipmentDetails,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA89636
